what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1385983460515
java.specification.name,sysinfo,,,"Java Platform API Specification",1385983460515
java.specification.vendor,sysinfo,,,"Oracle Corporation",1385983460515
java.specification.version,sysinfo,,,"1.7",1385983460515
java.vendor,sysinfo,,,"Oracle Corporation",1385983460515
java.version,sysinfo,,,"1.7.0_45",1385983460515
java.vm.info,sysinfo,,,"mixed mode",1385983460515
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1385983460515
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1385983460515
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1385983460515
java.vm.specification.version,sysinfo,,,"1.7",1385983460515
java.vm.vendor,sysinfo,,,"Oracle Corporation",1385983460515
java.vm.version,sysinfo,,,"24.45-b08",1385983460515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385983466783
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385983468861
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1385983468986
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1385983469008
opened,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1385983469051
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1385983469071
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1385983469212
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385983473129
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385983473759
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385983474174
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385983497368
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385983526702
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385983528733
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385983542757
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1385983547706
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1385983547956
